uid,project_name,report_month,risk_score,risk_tier
108841,"Amended BharatNet Program - KTK, GOA, PY",2026-06,15.788747083521889,Green
108841,"Amended BharatNet Program - KTK, GOA, PY",2026-07,14.976896622539554,Green
124199,Amended BharatNet Program - HR,2026-07,5.529058675594821,Green
171218,Amended BharatNet Program - PB,2026-07,23.84118035100021,Green
175860,"Amended BharatNet Program - MP, DD and DNH",2026-07,26.013543623128964,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2024-06,12.680041976127052,Green
180100210,PARBATI HEP (4X200 MW),2024-07,29.748163380969732,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2024-08,15.79540779805249,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2024-09,15.336150280296906,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2024-10,15.147382655121778,Green
180100210,PARBATI HEP (4X200 MW),2024-11,29.139658374824528,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2024-12,27.962332195406248,Green
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2025-01,25.04561888038983,Green
180100210,PARBATI HEP (4X200 MW),2025-03,28.255482526408848,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW),2024-06,10.421697827721225,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2024-07,14.071470542724782,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW),2024-08,13.68855837932326,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW),2024-09,16.318580788399895,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2024-10,14.834436104010132,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2024-11,16.02258067187577,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2024-12,32.87450045830661,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW),2025-01,14.245150684247971,Green
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2025-03,9.82618261761205,Green
180100221,Subansiri Lower HE Project [2000 MW],2026-02,43.20144516021134,Amber
180100221,Subansiri Lower HE Project [2000 MW],2026-03,44.684397507158494,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-06,43.70290937249095,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-07,51.063703047993194,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-08,51.063703047993194,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-09,49.202185049620944,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-10,49.202185049620944,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-11,48.62714241741263,Amber
180100242,BARH STPP(3X660MW) NTPC,2024-12,62.465685714083484,Amber
180100242,BARH STPP(3X660MW) NTPC,2025-01,51.50266447048519,Amber
180100242,BARH STPP(3X660MW) NTPC,2025-03,73.40970986018638,Red
20100044,PROTOTYPE FAST BREEDER REACTOR,2024-06,36.63751283001429,Green
20100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",2024-07,41.60969709834039,Amber
20100044,PROTOTYPE FAST BREEDER REACTOR,2024-08,41.60969709834039,Amber
20100044,PROTOTYPE FAST BREEDER REACTOR,2024-09,41.60969709834039,Amber
210914,Amended BharatNet Program - WB & ANI,2026-07,28.671588956158228,Green
220100133,"UDHAMPUR- SRINAGAR- BARAMULLA (NL),NR",2024-06,52.60755957970002,Amber
220100133,"UDHAMPUR-SRINAGAR- BARAMULLA (NL),NR",2024-07,52.26874687421281,Amber
220100133,UDHAMPUR-SRINAGAR-BARAMULLA,2024-08,36.69035495424289,Green
220100133,UDHAMPUR-SRINAGAR-BARAMULLA,2024-09,38.132654970317944,Green
