feature,mean_abs_shap_time,mean_abs_shap_cost,rank_time,rank_cost
elapsed_ratio,0.15966006780229147,0.015753277809163743,1,12
doc_slip_to_date_m,0.09371874462795866,0.00935016262747502,2,19
agency,0.06694537800220993,0.16120909962675506,3,1
months_past_orig_doc,0.06061285623692973,0.010760327585133588,4,14
orig_duration_m,0.060109667305700304,0.017175398710235015,5,10
state,0.04687847758393832,0.07545416889935085,6,3
snapshot_index,0.044686160967860954,0.0010355447998057097,7,25
physical_progress,0.029527308165731365,0.020032002174098465,8,8
sector,0.024686113163497028,0.022804151888626712,9,6
months_elapsed,0.02400100504084965,0.010550729379568758,10,15
cost_per_month_planned,0.022074694994555933,0.01816736335528844,11,9
financial_progress_pct,0.012220021380361962,0.06181273947722739,12,4
approval_to_start_lag_m,0.010921479827428434,0.016230872143439073,13,11
progress_gap_pct,0.01085344346898109,0.025598238094727648,14,5
original_cost,0.009675504275780336,0.022290111896140028,15,7
cost_revision_to_date_pct,0.009367192987814504,0.1464692799003887,16,2
ministry,0.00785694611304468,0.014186752443692913,17,13
scope_km,0.007558674451743293,0.010286407222959667,18,16
d_expenditure,0.007023793366116521,0.0102810192351974,19,17
progress_velocity_3m,0.005360141313661598,0.005622872822838757,20,20
sanction_year,0.0035619792852936523,0.00995524364613695,21,18
d_physical_progress,0.0029722184700094493,0.002482889711258682,22,24
kw_bypass,0.0028627603338861564,0.003493655981357545,23,21
kw_greenfield,0.002593414784246063,0.0031271174768559063,24,23
kw_tunnel,0.0011495857429036683,0.0,25,30
is_stalled,0.0010764506835434092,0.0008713940129890578,26,26
kw_doubling,0.00020025339209954704,7.681193345769325e-06,27,29
kw_terminal,0.00018005190261921085,0.0,28,30
kw_upgrade,0.00011205714739271463,0.0033274265907339484,29,22
kw_pipeline,6.2625350034756435e-06,2.49560662851753e-05,30,28
log_original_cost,0.0,0.0,31,30
kw_bot,0.0,0.0,31,30
kw_electrification,0.0,0.0,31,30
kw_ham,0.0,0.0,31,30
kw_epc,0.0,0.0,31,30
kw_bridge,0.0,6.717334019322837e-05,31,27
kw_metro,0.0,0.0,31,30
is_past_orig_doc,0.0,0.0,31,30
