uid,project_name,risk_score,driver_1_feature,driver_1_shap,driver_2_feature,driver_2_shap,driver_3_feature,driver_3_shap,driver_4_feature,driver_4_shap,driver_5_feature,driver_5_shap
618544,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",98.44213835317616,cost_revision_to_date_pct,19.144,agency,9.023,elapsed_ratio,7.814,kw_tunnel,4.395,months_past_orig_doc,3.847
618902,Maheshkunt-Saharsa-Purnea Pkg I km 0.00 to km. 90.00 of NH-107,98.12931858954228,agency,16.002,state,12.872,elapsed_ratio,7.801,cost_revision_to_date_pct,-6.08,doc_slip_to_date_m,-5.444
619087,Widening to 6L of Existing 4L Jetpur - Gondal - Rajkot Section from Km. 117.600 to Km. 185.00 on NH-27,98.10416837643608,cost_revision_to_date_pct,13.138,agency,11.914,elapsed_ratio,7.543,state,3.84,financial_progress_pct,3.628
619003,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,98.03655251763185,state,14.327,agency,11.11,elapsed_ratio,9.478,financial_progress_pct,8.731,doc_slip_to_date_m,-5.208
619152,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,97.9477548193417,agency,14.111,state,13.074,elapsed_ratio,9.605,months_past_orig_doc,5.476,financial_progress_pct,4.454
618955,2L PS of Majhauli to Charout section from km. 0.00 to km. 63.655,97.44145878112366,agency,12.173,state,11.7,financial_progress_pct,8.35,months_past_orig_doc,6.512,elapsed_ratio,6.505
619134,6L of Ambala-Chandigarh greenfield section from Km. 0.000 to Km. 25.000 with 4L spur to Lalru from Km. 0.000 to Km. 5.828 & spur to PR-7 road from Km. 0.000 to Km. 11.157,97.23113351021316,agency,17.557,state,9.705,elapsed_ratio,8.238,financial_progress_pct,3.311,cost_revision_to_date_pct,-3.038
619153,4L of HP/Punjab Border - Mo from km. 11.00 to km. 42.00 of Old NH-20 New NH-154 Package-IA,97.15338041288526,agency,14.794,state,12.36,elapsed_ratio,7.731,financial_progress_pct,6.475,cost_revision_to_date_pct,-5.56
618921,4L of Kathlighat to Shakral Village from Km 128.835 to Km 146.300 of NH- 5 Shimla Bypass - Pkg I,97.14823838744236,state,16.266,agency,14.265,elapsed_ratio,9.877,financial_progress_pct,5.185,doc_slip_to_date_m,-3.579
618903,Maheshkunt -Saharsa-Purnea Pkg II,97.01357608190052,agency,13.256,state,9.584,elapsed_ratio,7.785,doc_slip_to_date_m,-7.12,financial_progress_pct,5.897
618845,Puducherry Km.29.000 to Poondiyankuppam Km.67.000,96.9454752850134,agency,13.782,elapsed_ratio,8.065,cost_revision_to_date_pct,6.548,state,5.758,months_past_orig_doc,4.555
618608,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,96.82850363918882,cost_revision_to_date_pct,18.101,agency,12.203,elapsed_ratio,7.303,snapshot_index,2.872,doc_slip_to_date_m,-2.474
618953,Umagaon-Saharsa Package-IV Koshi Bridge & approach Road - Bheja-Bakaur,96.63024752374842,agency,16.461,state,10.975,elapsed_ratio,9.979,doc_slip_to_date_m,-4.643,financial_progress_pct,4.266
618740,4L Greenfield Alignment of Shivrampur to Ramnagar from Km. 55.002 to Km. 109.300 of NH 119 D Pkg-II,96.53296015370324,agency,18.149,state,12.09,elapsed_ratio,7.751,financial_progress_pct,5.086,cost_revision_to_date_pct,-4.108
618850,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,96.4776232683988,state,13.603,agency,11.02,elapsed_ratio,9.239,financial_progress_pct,8.238,doc_slip_to_date_m,-7.376
618840,Simaria Km. 206.050 to Khagaria Km. 266.282,96.4619265136365,agency,13.258,state,12.749,elapsed_ratio,8.957,doc_slip_to_date_m,-8.0,months_past_orig_doc,5.496
618841,4L Elevated Section and at-grade improvements at Begusarai town Simaria - Khagaria section from Km. 221.047 to Km. 225.302 of NH-31,96.41036008722202,cost_revision_to_date_pct,12.093,agency,11.662,elapsed_ratio,8.494,state,7.888,months_past_orig_doc,2.829
618516,6L from Sankeshwar Bypass to MH-KNT Border from Km. 555.017 to Km. 592.853 of NH-48 Pkg-II,96.39261148456843,cost_revision_to_date_pct,18.229,agency,13.408,elapsed_ratio,9.364,snapshot_index,2.861,doc_slip_to_date_m,-2.812
618847,Sattanathapuram to Nagapattinam from Km 123.800 to Km 179.555,96.36344942691235,agency,13.356,state,8.782,elapsed_ratio,7.698,doc_slip_to_date_m,-6.756,financial_progress_pct,5.202
618795,Amritsar Bypass Pkg III from km. 71.496 to km. 105.158,96.21741225053316,agency,13.583,cost_revision_to_date_pct,12.366,elapsed_ratio,7.821,months_past_orig_doc,3.894,doc_slip_to_date_m,-3.195
618723,6L access Controlled Greenfield Highway from Ranipur Barsi to Adhoya Musalmana section of Shamli -Ambala Package-II Design Ch. Form km 45.500 to km 84.400,96.18095461472709,agency,16.081,cost_revision_to_date_pct,14.532,elapsed_ratio,7.612,doc_slip_to_date_m,-3.332,snapshot_index,2.957
618739,4L Greenfield Alignment of Amas to Shivrampur from 0.000 Km. to 55.002 Km. of NH 119 D Pkg-I,96.1115238055108,agency,18.22,state,14.1,elapsed_ratio,7.139,cost_revision_to_date_pct,-4.294,financial_progress_pct,3.965
618936,Jagadhari - Tajewala from Km -0.175 to 32.337 km of NH-344,96.10448887650564,cost_revision_to_date_pct,14.811,agency,13.884,elapsed_ratio,8.105,financial_progress_pct,3.256,doc_slip_to_date_m,-2.536
619095,Balance works of 4L Panvel Indapur section of NH66 old NH17 from km 42.300 kasu to km 84.600 Indapur,96.06236762839904,cost_revision_to_date_pct,17.164,agency,11.105,elapsed_ratio,6.391,months_past_orig_doc,5.024,financial_progress_pct,4.097
619071,Tumkur - Nelamangala 6L,95.78989206299052,cost_revision_to_date_pct,14.608,agency,10.497,elapsed_ratio,9.409,state,5.04,financial_progress_pct,3.471
618889,"4L of Bhangbar Near Ranital to Kangra Bypass Section of Old NH-88 New NH- 303,503 up to Intersection with NH-154 from Km 175.270 to Km 193.400 Pkg-VB",95.77767872320184,agency,16.215,state,13.261,elapsed_ratio,7.158,financial_progress_pct,6.111,cost_revision_to_date_pct,-4.382
618505,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,95.64533475885555,cost_revision_to_date_pct,20.639,agency,14.518,elapsed_ratio,6.456,months_past_orig_doc,4.119,orig_duration_m,2.838
618861,Bakhtiyarpur-Rajauli Pkg-II from km. 54.405 to km.101.630,95.6333982660503,agency,14.534,state,12.112,elapsed_ratio,9.866,doc_slip_to_date_m,-5.155,financial_progress_pct,4.303
