state,sector,sl_no,project_name,agency,project_code,legacy_ocms_code,approval_date,original_doc,revised_doc,anticipated_doc,original_cost,revised_cost,anticipated_cost,expenditure,physical_progress,report_month,source_file,target_doc,cost_overrun,time_overrun_months,ministry,start_date,uid,report_mi,approval_mi,start_mi,orig_doc,orig_doc_mi,rev_doc_mi,anticipated_doc_mi,latest_cost,orig_duration_m,approval_to_start_lag_m,sanction_year,log_original_cost,cost_per_month_planned,months_elapsed,elapsed_ratio,financial_progress_pct,progress_gap_pct,months_past_orig_doc,is_past_orig_doc,cost_revision_to_date_pct,doc_slip_to_date_m,kw_bridge,kw_tunnel,kw_bypass,kw_greenfield,kw_upgrade,kw_epc,kw_ham,kw_bot,kw_doubling,kw_electrification,kw_metro,kw_pipeline,kw_terminal,scope_km,snapshot_index,d_physical_progress,d_expenditure,progress_velocity_3m,is_stalled,dq_doc_before_start,dq_absurd_duration,dq_cost_collapse,dq_any,f_cost,f_doc_mi,f_progress,y_cost_overrun_total_pct,y_time_overrun_total_m,y_new_cost_escalation_pct,y_new_slippage_m,y_cost_overrun_flag,y_slippage_flag,y_time_band,y_cost_band
"Multi-States (Arunachal Pradesh, Assam)",CIVIL AVIATION,117,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,180100221.0,,9/2003,9/2010,5/2026,,6285.33,26075.54,,23753.28,96.1,2025-03,FRMarch2025.pdf,,,,Ministry of Power,01/2005,180100221,24303,24045.0,24061.0,9/2010,24129.0,24317.0,24317.0,26075.54,68.0,16.0,2003,8.746132713593306,92.43132352941177,242.0,3.5588235294117645,377.9161953310327,281.81619533103276,174.0,1,314.86349960940794,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1.4099999999999966,566.8099999999977,0.6199999999999998,0,0,0,0,0,26075.5,24317.0,97.57,314.8628632068642,188.0,-0.0006364025437148585,0.0,0,0,over_24m,over_25pct
Maharashtra,POWER,861,AHMEDNAGAR-PARLI VAIJNATH(NL) CR,CR,220100181.0,,2/1997,3/2021,12/2025,,2271.5,4957.27,,4746.88,94.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,10/2002,220100181,24303,23966.0,24034.0,3/2021,24255.0,24312.0,24312.0,4957.27,221.0,68.0,1997,7.728635826051634,10.278280542986426,269.0,1.2171945701357465,208.97556680607528,114.97556680607528,48.0,1,118.23772837332162,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,3.0,140.5,1.6666666666666667,0,0,0,0,0,4957.27,24315.0,98.0,118.23772837332162,60.0,0.0,3.0,0,1,over_24m,over_25pct
Madhya Pradesh,PETROLEUM,1074,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR)",WCR,220100232.0,,9/1998,5/2008,3/2025,,247.66,63.57,8248.5,2520.04,43.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,03/1998,220100232,24303,23985.0,23979.0,5/2008,24101.0,24303.0,24303.0,63.57,122.0,-6.0,1998,5.516086501524791,2.03,324.0,2.6557377049180326,1017.5401760478074,974.5401760478074,202.0,1,-74.33174513445853,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.0,0.0,0.0,1,0,0,1,1,8914.0,24336.0,74.0,3499.289348300089,235.0,3573.621093434547,33.0,1,1,over_24m,over_25pct
Bihar,POWER,207,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),ECR,220100257.0,,4/1997,3/2027,,,162.87,614.45,614.45,465.66,51.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,12/1998,220100257,24303,23968.0,23988.0,3/2027,24327.0,,24327.0,614.45,339.0,20.0,1997,5.099073430558133,0.4804424778761062,315.0,0.9292035398230089,285.9090071836434,234.90900718364338,0.0,0,277.264075643151,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1.0,4.930000000000007,0.3333333333333333,0,0,0,0,0,1384.16,24327.0,55.6,749.8557131454534,0.0,472.59163750230243,0.0,1,0,on_time,over_25pct
Andhra Pradesh,RAILWAYS,27,KOTLPALLI-NARASAPUR (NL),SCR,220100265.0,,12/2001,3/2009,3/2027,,1045.2,2500.98,,1150.84,,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,09/2013,220100265,24303,24024.0,24165.0,3/2009,24111.0,24327.0,24327.0,2500.98,-54.0,141.0,2001,6.95291983093651,-19.355555555555558,138.0,-2.5555555555555554,110.10715652506696,,192.0,1,139.28243398392652,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,0.09999999999990905,9.0,0,1,0,0,1,2501.0,24339.0,30.0,139.2843474933027,228.0,0.001913509376194203,12.0,0,1,over_24m,over_25pct
West Bengal,POWER,1656,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",ER,220100272.0,,4/2000,3/2019,2/2026,,1188.91,2582.49,,1224.25,75.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,02/2008,220100272,24303,24004.0,24098.0,3/2019,24231.0,24314.0,24314.0,2582.49,133.0,94.0,2000,7.081632952993362,8.939172932330827,205.0,1.5413533834586466,102.97247058229806,27.972470582298058,72.0,1,117.21492795922312,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.0,77.45000000000005,0.0,0,0,0,0,0,1542.0,24314.0,96.68,29.698631519627213,83.0,-87.5162964395959,0.0,0,0,over_24m,over_25pct
Odisha,POWER,1170,KHURDA ROAD- BOLANGIR(NL)ECOR,ECOR,220100284.0,,4/1994,3/2009,12/2026,,2923.13,3791.66,5089.37,4627.52,84.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,03/2001,220100284,24303,23932.0,24015.0,3/2009,24111.0,24324.0,24324.0,3791.66,96.0,83.0,1994,7.980752279525691,30.449270833333333,288.0,3.0,158.30702021463296,74.30702021463296,192.0,1,29.712328907711928,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,2.0,230.80000000000018,1.3333333333333333,0,0,0,0,0,5089.0,24324.0,91.5,74.09420723676332,213.0,44.381878329051396,0.0,1,0,over_24m,over_25pct
Manipur,RAILWAYS,990,JIRIBAM TO IMPHAL,TUPUI)(NL)(NEFR,220100288.0,,4/2003,3/2011,12/2028,,4454.17,12274.06,22234.6,15218.35,68.5,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,12/2007,220100288,24303,24040.0,24096.0,3/2011,24135.0,24348.0,24348.0,12274.06,39.0,56.0,2003,8.401820498548352,114.20948717948718,207.0,5.3076923076923075,341.66522606905437,273.16522606905437,168.0,1,175.5633485026391,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,-12.75,149.98999999999978,-3.9166666666666665,0,0,0,0,0,21885.9,24354.0,72.1,391.3575368699444,219.0,215.79418836730528,6.0,1,1,over_24m,over_25pct
Bihar,POWER,208,HAJIPUR-SUGAULI VIA VAISHALI,"NL), ECR",220100303.0,,4/2003,12/2026,,,528.65,2087.36,2087.36,2273.5,73.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,10/2004,220100303,24303,24040.0,24058.0,12/2026,24324.0,,24324.0,2087.36,266.0,18.0,2003,6.272216411042505,1.9874060150375938,245.0,0.9210526315789473,430.05769412654877,357.05769412654877,0.0,0,294.8472524354488,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,25.0,121.32000000000016,8.333333333333334,0,0,0,0,0,2087.0,24324.0,75.0,294.7791544500142,0.0,-0.06809798543462164,0.0,0,0,on_time,over_25pct
"Multi-States (Bihar, Jharkhand)",RAILWAYS,597,"KODERMA-TILAIYA (NL), ECR",ECR,220100305.0,,4/2002,12/2025,,,459.91,1625.87,1700.0,1958.27,80.0,2025-03,FRMarch2025.pdf,,,,Ministry of Railways,03/2002,220100305,24303,24028.0,24027.0,12/2025,24312.0,,24312.0,1625.87,285.0,-1.0,2002,6.133202796171501,1.613719298245614,276.0,0.968421052631579,425.79417712161074,345.79417712161074,0.0,0,253.51916679350302,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,10.0,106.37999999999988,3.3333333333333335,0,0,0,0,0,2486.62,24314.0,95.4,440.67534952490695,2.0,187.15618273140396,2.0,1,1,upto_6m,over_25pct
